,Title,Date,Sentiment_VADER,Sentiment_TextBlob,Sentiment_Average
1,First Tesla electric car supercharger station opens in Warren County - lehighvalleylive.com,2022-01-01,0.0,0.25,0.125
2,Lucid and Rivian are future of sexy electric cars and the 'next Teslas' - New York Post,2022-01-01,0.5267,0.1590909090909091,0.3428954545454545
3,"Tesla Model 3, Y prices hiked in China for rear wheel drive variant - ETAuto",2022-01-01,0.0,0.0,0.0
4,How to Fix Tesla Model 3/Y Heater Not Working in Cold Weather ... - iPhone in Canada,2022-01-01,0.0,-0.6,-0.3
5,Tesla Model Q Looks Like a More Practical Model 3 That Doesn't ... - autoevolution,2022-01-01,0.3612,0.5,0.4306
6,В Харьковской области ухудшится погода: дождь и гололед - Харьков.Комментарии - Свежие новости Харькова и Харьковской области,2022-01-01,0.0,0.0,0.0
0,Here's how Elon Musk hired Indian-origin Ashok Elluswamy as Tesla's autopilot head - Business Insider India,2022-01-02,0.0,0.0,0.0
16,Drag Race Special: Ford Explorer Interceptor Vs. Tesla Model Y - CarBuzz,2022-01-02,0.2023,0.12857142857142856,0.1654357142857143
14,Tesla smashes quarterly record for global vehicle deliveries - Automotive News Europe,2022-01-02,0.0,0.0,0.0
13,"Tesla reports it delivered nearly 1 million cars in 2021, up 87 percent - The Hill",2022-01-02,0.0,0.1,0.05
12,What chip shortage? Tesla posts record fourth quarter and full year sales - CNN,2022-01-02,-0.25,0.175,-0.037500000000000006
15,Why Do Electric Cars Still Use 12-Volt Batteries? - Car and Driver,2022-01-02,0.0,0.0,0.0
10,Here's what Elon Musk is likely to do with those billions of dollars in stock sales - CNN,2022-01-02,0.0,0.0,0.0
9,Tesla Delivered Nearly a Million Cars Worldwide in 2021 - Voice of America - VOA News,2022-01-02,0.0,0.1,0.05
8,"Tesla delivered 936,172 electric vehicles in 2021, with the fourth-quarter setting a new record - CNBC",2022-01-02,0.0,0.13636363636363635,0.06818181818181818
7,"Tesla Says It Delivered Record 936,172 Electric Vehicles In 2021 - Forbes",2022-01-02,0.0,0.0,0.0
11,"Tesla Deliverables from 2011 to 2021 | From Zero to 936,172 - Tech Times",2022-01-02,0.0,0.0,0.0
26,German union steps up efforts to recruit Tesla workers with office ... - Automotive News Europe,2022-01-03,0.0,0.0,0.0
24,"Who is Ashok Elluswamy, Elon Musk’s first hire for Tesla Autopilot - Moneycontrol",2022-01-03,0.0,0.25,0.125
23,Ford beats out Tesla to become the auto industry's top growth stock in 2021 - CNBC,2022-01-03,0.5267,0.5,0.51335
22,"Tesla Is Selling More Cars Than Ever, but Keeps Making Them ... - Inc.",2022-01-03,0.0,0.5,0.25
21,Tesla stock closes up 13% after reporting record vehicle deliveries for 2021 - CNBC,2022-01-03,0.0,0.0,0.0
19,Tesla opens showroom in region of China associated with genocide ... - The Verge,2022-01-03,0.0,0.0,0.0
17,Tesla shares surge after carmaker delivers record number of vehicles - Financial Times,2022-01-03,0.3612,0.0,0.1806
20,Tesla Criticized For Opening Showroom In China’s Controversial Xinjiang Region - Forbes,2022-01-03,-0.5106,0.55,0.019699999999999995
36,Tesla's V11 Update Blasted for Hiding Things Like Defroster Button ... - The Drive,2022-01-04,0.0772,-0.6,-0.26139999999999997
35,A New Tesla Model X Won't Be Available Until Late 2022 - Edmunds.com,2022-01-04,0.0,0.0787878787878788,0.0393939393939394
32,Chinese EV startups turn to Nvidia in the race to catch Tesla - Reuters,2022-01-04,0.0,0.0,0.0
34,Panasonic to use Redwood’s recycled materials in battery cell production at Tesla gigafactory - TechCrunch,2022-01-04,0.0,0.0,0.0
33,"How Do Tesla's 2021 Delivery Numbers Stack Up to Ford, GM, and ... - The Motley Fool",2022-01-04,-0.4404,0.6,0.07979999999999998
31,Tesla Removes 2022 Cybertruck Production Date From Its Site - The Drive,2022-01-04,0.0,0.0,0.0
25,"Toyota to launch own operating system, vying with Tesla and VW - Nikkei Asia",2022-01-04,0.0,0.6,0.3
29,Explainer: How Tesla weathered global supply chain issues that ... - Reuters,2022-01-04,0.0,0.0,0.0
28,Activists urge Tesla to close new Xinjiang showroom - The Associated Press,2022-01-04,0.0,0.13636363636363635,0.06818181818181818
27,Tesla showroom in China's Xinjiang region blasted by rights groups - Reuters,2022-01-04,0.0,-0.6,-0.3
18,"Tesla opened a dealership in Xinjiang, China, despite widespread reports of Uyghur oppression there - CNBC",2022-01-04,0.0,0.0,0.0
30,Elon Musk's net worth tops $300B after Tesla delivery record - New York Post,2022-01-04,0.6369,0.14545454545454545,0.39117727272727276
45,"Tesla, BYD in the lead on NEV growth - China Daily",2022-01-05,0.3818,0.0,0.1909
