Date,Close/Last,Volume,Open,High,Low,PriceDifference
12/01/2023,238.83,121331700,$233.14,$240.19,$231.90,
11/30/2023,240.08,132353200,$245.14,$245.22,$236.91,1.25
11/29/2023,244.14,135401300,$249.21,$252.75,$242.76,4.059999999999974
11/28/2023,246.72,148549900,$236.68,$247.00,$234.01,2.5800000000000125
11/27/2023,236.08,112031800,$236.89,$238.33,$232.10,-10.639999999999986
11/24/2023,235.45,65125200,$233.75,$238.75,$232.33,-0.6300000000000239
11/22/2023,234.21,118117100,$242.04,$244.01,$231.40,-1.2399999999999807
11/21/2023,241.2,122288000,$235.04,$243.62,$233.34,6.989999999999981
11/20/2023,235.6,116562400,$234.04,$237.10,$231.02,-5.599999999999994
11/17/2023,234.3,142766200,$232.00,$237.39,$226.54,-1.299999999999983
11/16/2023,233.59,136816800,$239.49,$240.88,$230.96,-0.710000000000008
11/15/2023,242.84,150354000,$239.29,$246.70,$236.45,9.25
11/14/2023,237.41,149771600,$235.03,$238.135,$230.72,-5.430000000000007
11/13/2023,223.71,140447600,$215.60,$225.40,$211.6101,-13.699999999999989
11/10/2023,214.65,131310100,$210.03,$215.38,$205.69,-9.060000000000002
11/09/2023,209.98,142110500,$219.75,$220.80,$206.68,-4.670000000000016
11/08/2023,222.11,106584800,$223.15,$224.15,$217.64,12.130000000000024
11/07/2023,222.18,116900100,$219.98,$223.12,$215.72,0.06999999999999318
11/06/2023,219.27,117335800,$223.98,$226.32,$215.00,-2.9099999999999966
11/03/2023,219.96,119534800,$221.15,$226.3701,$218.40,0.6899999999999977
11/02/2023,218.51,125987600,$212.97,$219.20,$211.45,-1.450000000000017
11/01/2023,205.66,121661700,$204.04,$205.99,$197.85,-12.849999999999994
10/31/2023,200.84,118068300,$196.12,$202.80,$194.07,-4.819999999999993
10/30/2023,197.36,136448200,$209.28,$210.88,$194.67,-3.4799999999999898
10/27/2023,207.3,94881170,$210.60,$212.41,$205.77,9.939999999999998
10/26/2023,205.76,115112600,$211.32,$214.80,$204.88,-1.5400000000000205
10/25/2023,212.42,107065100,$215.88,$220.10,$212.20,6.659999999999997
10/24/2023,216.52,118231100,$216.50,$222.05,$214.11,4.100000000000023
